Subject,word,repetition,token,Frame,X,Y
NJ0205c,pad,F,pad_F,13,415,163
NJ0205c,pad,F,pad_F,14,424,161
NJ0205c,pad,F,pad_F,15,434,159
NJ0205c,pad,F,pad_F,16,443,158
NJ0205c,pad,F,pad_F,17,453,158
NJ0205c,pad,F,pad_F,18,463,159
NJ0205c,pad,F,pad_F,19,472,162
NJ0205c,pad,F,pad_F,20,481,166
NJ0205c,pad,F,pad_F,21,489,171
NJ0205c,pad,F,pad_F,22,497,177
NJ0205c,pad,F,pad_F,23,504,184
NJ0205c,pad,F,pad_F,24,511,191
NJ0205c,pad,F,pad_F,25,517,198
NJ0205c,pad,F,pad_F,26,523,206
NJ0205c,pad,F,pad_F,27,527,215
NJ0205c,pad,F,pad_F,28,531,224
NJ0205c,pad,F,pad_F,29,536,232
NJ0205c,pad,F,pad_F,30,543,239
NJ0205c,pad,F,pad_F,31,550,245
NJ0205c,pad,F,pad_F,32,558,251
NJ0205c,pad,F,pad_F,33,566,257
NJ0205c,pad,G,pad_G,1,309,216
NJ0205c,pad,G,pad_G,2,318,213
NJ0205c,pad,G,pad_G,3,328,210
NJ0205c,pad,G,pad_G,4,337,206
NJ0205c,pad,G,pad_G,5,345,202
NJ0205c,pad,G,pad_G,6,354,197
NJ0205c,pad,G,pad_G,7,362,191
NJ0205c,pad,G,pad_G,8,370,185
NJ0205c,pad,G,pad_G,9,378,179
NJ0205c,pad,G,pad_G,10,386,174
NJ0205c,pad,G,pad_G,11,395,169
NJ0205c,pad,G,pad_G,12,404,167
NJ0205c,pad,G,pad_G,13,414,165
NJ0205c,pad,G,pad_G,14,423,163
NJ0205c,pad,G,pad_G,15,433,162
NJ0205c,pad,G,pad_G,16,443,160
NJ0205c,pad,G,pad_G,17,453,159
NJ0205c,pad,G,pad_G,18,462,158
NJ0205c,pad,G,pad_G,19,472,159
NJ0205c,pad,G,pad_G,20,482,162
NJ0205c,pad,G,pad_G,21,490,167
NJ0205c,pad,G,pad_G,22,498,172
NJ0205c,pad,G,pad_G,23,506,178
NJ0205c,pad,G,pad_G,24,514,184
NJ0205c,pad,G,pad_G,25,520,191
NJ0205c,pad,G,pad_G,26,526,199
NJ0205c,pad,G,pad_G,27,532,208
NJ0205c,pad,G,pad_G,28,536,216
NJ0205c,pad,G,pad_G,29,539,226
NJ0205c,pad,G,pad_G,30,542,235
NJ0205c,pad,G,pad_G,31,547,243
NJ0205c,pad,G,pad_G,32,553,251
NJ0205c,pad,G,pad_G,33,559,259
NJ0205c,pad,H,pad_H,1,310,223
NJ0205c,pad,H,pad_H,2,317,217
NJ0205c,pad,H,pad_H,3,325,212
NJ0205c,pad,H,pad_H,4,333,206
NJ0205c,pad,H,pad_H,5,341,201
NJ0205c,pad,H,pad_H,6,350,197
NJ0205c,pad,H,pad_H,7,358,192
NJ0205c,pad,H,pad_H,8,367,189
NJ0205c,pad,H,pad_H,9,376,185
NJ0205c,pad,H,pad_H,10,385,181
NJ0205c,pad,H,pad_H,11,393,177
NJ0205c,pad,H,pad_H,12,402,173
NJ0205c,pad,H,pad_H,13,411,170
NJ0205c,pad,H,pad_H,14,421,168
NJ0205c,pad,H,pad_H,15,430,166
NJ0205c,pad,H,pad_H,16,439,165
NJ0205c,pad,H,pad_H,17,449,163
NJ0205c,pad,H,pad_H,18,458,162
NJ0205c,pad,H,pad_H,19,468,162
NJ0205c,pad,H,pad_H,20,477,163
NJ0205c,pad,H,pad_H,21,487,166
NJ0205c,pad,H,pad_H,22,496,169
NJ0205c,pad,H,pad_H,23,504,173
NJ0205c,pad,H,pad_H,24,512,179
NJ0205c,pad,H,pad_H,25,519,185
NJ0205c,pad,H,pad_H,26,525,193
NJ0205c,pad,H,pad_H,27,531,200
NJ0205c,pad,H,pad_H,28,536,208
NJ0205c,pad,H,pad_H,29,541,217
NJ0205c,pad,H,pad_H,30,545,226
NJ0205c,pad,H,pad_H,31,549,234
NJ0205c,pad,H,pad_H,32,553,243
NJ0205c,pad,H,pad_H,33,557,252
NJ0205c,pad,I,pad_I,1,295,231
NJ0205c,pad,I,pad_I,2,303,223
NJ0205c,pad,I,pad_I,3,312,216
NJ0205c,pad,I,pad_I,4,320,208
NJ0205c,pad,I,pad_I,5,328,201
NJ0205c,pad,I,pad_I,6,337,195
NJ0205c,pad,I,pad_I,7,347,189
NJ0205c,pad,I,pad_I,8,356,184
NJ0205c,pad,I,pad_I,9,366,179
NJ0205c,pad,I,pad_I,10,376,175
NJ0205c,pad,I,pad_I,11,387,171
NJ0205c,pad,I,pad_I,12,397,167
NJ0205c,pad,I,pad_I,13,407,163
NJ0205c,pad,I,pad_I,14,417,158
NJ0205c,pad,I,pad_I,15,427,155
NJ0205c,pad,I,pad_I,16,438,152
NJ0205c,pad,I,pad_I,17,449,153
NJ0205c,pad,I,pad_I,18,460,154
NJ0205c,pad,I,pad_I,19,471,156
NJ0205c,pad,I,pad_I,20,482,158
NJ0205c,pad,I,pad_I,21,492,162
NJ0205c,pad,I,pad_I,22,502,168
NJ0205c,pad,I,pad_I,23,511,174
NJ0205c,pad,I,pad_I,24,518,182
NJ0205c,pad,I,pad_I,25,524,191
NJ0205c,pad,I,pad_I,26,528,201
NJ0205c,pad,I,pad_I,27,533,211
NJ0205c,pad,I,pad_I,28,539,221
NJ0205c,pad,I,pad_I,29,546,229
NJ0205c,pad,I,pad_I,30,553,238
NJ0205c,pad,I,pad_I,31,560,246
NJ0205c,pad,I,pad_I,32,568,253
NJ0205c,pad,I,pad_I,33,576,261
NJ0205c,pad,J,pad_J,1,318,213
NJ0205c,pad,J,pad_J,2,326,208
NJ0205c,pad,J,pad_J,3,334,204
NJ0205c,pad,J,pad_J,4,341,199
NJ0205c,pad,J,pad_J,5,349,194
NJ0205c,pad,J,pad_J,6,357,189
NJ0205c,pad,J,pad_J,7,365,184
NJ0205c,pad,J,pad_J,8,373,180
NJ0205c,pad,J,pad_J,9,381,175
NJ0205c,pad,J,pad_J,10,389,170
NJ0205c,pad,J,pad_J,11,397,166
NJ0205c,pad,J,pad_J,12,406,163
NJ0205c,pad,J,pad_J,13,415,161
