Subject,repetition,word,token,Frame,X,Y
NJ0205a,F,pad,F_pad,13,394,181
NJ0205a,F,pad,F_pad,14,404,178
NJ0205a,F,pad,F_pad,15,414,174
NJ0205a,F,pad,F_pad,16,425,170
NJ0205a,F,pad,F_pad,17,435,167
NJ0205a,F,pad,F_pad,18,446,166
NJ0205a,F,pad,F_pad,19,456,166
NJ0205a,F,pad,F_pad,20,467,168
NJ0205a,F,pad,F_pad,21,477,172
NJ0205a,F,pad,F_pad,22,486,177
NJ0205a,F,pad,F_pad,23,495,183
NJ0205a,F,pad,F_pad,24,502,191
NJ0205a,F,pad,F_pad,25,510,199
NJ0205a,F,pad,F_pad,26,518,206
NJ0205a,F,pad,F_pad,27,526,213
NJ0205a,F,pad,F_pad,28,534,221
NJ0205a,F,pad,F_pad,29,541,228
NJ0205a,F,pad,F_pad,30,549,236
NJ0205a,F,pad,F_pad,31,557,243
NJ0205a,F,pad,F_pad,32,565,250
NJ0205a,F,pad,F_pad,33,574,256
NJ0205a,G,pad,G_pad,1,257,255
NJ0205a,G,pad,G_pad,2,266,250
NJ0205a,G,pad,G_pad,3,276,244
NJ0205a,G,pad,G_pad,4,285,239
NJ0205a,G,pad,G_pad,5,295,232
NJ0205a,G,pad,G_pad,6,304,226
NJ0205a,G,pad,G_pad,7,313,219
NJ0205a,G,pad,G_pad,8,321,213
NJ0205a,G,pad,G_pad,9,330,206
NJ0205a,G,pad,G_pad,10,340,200
NJ0205a,G,pad,G_pad,11,350,196
NJ0205a,G,pad,G_pad,12,360,192
NJ0205a,G,pad,G_pad,13,371,189
NJ0205a,G,pad,G_pad,14,381,185
NJ0205a,G,pad,G_pad,15,392,182
NJ0205a,G,pad,G_pad,16,403,180
NJ0205a,G,pad,G_pad,17,414,178
NJ0205a,G,pad,G_pad,18,425,175
NJ0205a,G,pad,G_pad,19,435,173
NJ0205a,G,pad,G_pad,20,446,172
NJ0205a,G,pad,G_pad,21,457,173
NJ0205a,G,pad,G_pad,22,468,175
NJ0205a,G,pad,G_pad,23,479,178
NJ0205a,G,pad,G_pad,24,489,184
NJ0205a,G,pad,G_pad,25,497,190
NJ0205a,G,pad,G_pad,26,506,197
NJ0205a,G,pad,G_pad,27,514,205
NJ0205a,G,pad,G_pad,28,521,214
NJ0205a,G,pad,G_pad,29,529,222
NJ0205a,G,pad,G_pad,30,536,230
NJ0205a,G,pad,G_pad,31,544,237
NJ0205a,G,pad,G_pad,32,552,245
NJ0205a,G,pad,G_pad,33,560,253
NJ0205a,H,pad,H_pad,1,291,236
NJ0205a,H,pad,H_pad,2,300,230
NJ0205a,H,pad,H_pad,3,309,225
NJ0205a,H,pad,H_pad,4,317,220
NJ0205a,H,pad,H_pad,5,325,214
NJ0205a,H,pad,H_pad,6,334,208
NJ0205a,H,pad,H_pad,7,342,202
NJ0205a,H,pad,H_pad,8,351,197
NJ0205a,H,pad,H_pad,9,361,193
NJ0205a,H,pad,H_pad,10,370,190
NJ0205a,H,pad,H_pad,11,380,187
NJ0205a,H,pad,H_pad,12,390,185
NJ0205a,H,pad,H_pad,13,399,181
NJ0205a,H,pad,H_pad,14,409,178
NJ0205a,H,pad,H_pad,15,419,174
NJ0205a,H,pad,H_pad,16,428,171
NJ0205a,H,pad,H_pad,17,438,169
NJ0205a,H,pad,H_pad,18,448,168
NJ0205a,H,pad,H_pad,19,458,171
NJ0205a,H,pad,H_pad,20,467,175
NJ0205a,H,pad,H_pad,21,476,181
NJ0205a,H,pad,H_pad,22,484,187
NJ0205a,H,pad,H_pad,23,491,194
NJ0205a,H,pad,H_pad,24,499,201
NJ0205a,H,pad,H_pad,25,506,208
NJ0205a,H,pad,H_pad,26,513,215
NJ0205a,H,pad,H_pad,27,521,222
NJ0205a,H,pad,H_pad,28,528,229
NJ0205a,H,pad,H_pad,29,535,236
NJ0205a,H,pad,H_pad,30,542,244
NJ0205a,H,pad,H_pad,31,550,251
NJ0205a,H,pad,H_pad,32,558,257
NJ0205a,H,pad,H_pad,33,566,263
NJ0205a,I,pad,I_pad,1,251,240
NJ0205a,I,pad,I_pad,2,261,237
NJ0205a,I,pad,I_pad,3,271,234
NJ0205a,I,pad,I_pad,4,281,231
NJ0205a,I,pad,I_pad,5,290,226
NJ0205a,I,pad,I_pad,6,300,220
NJ0205a,I,pad,I_pad,7,309,216
NJ0205a,I,pad,I_pad,8,318,211
NJ0205a,I,pad,I_pad,9,328,206
NJ0205a,I,pad,I_pad,10,337,201
NJ0205a,I,pad,I_pad,11,347,197
NJ0205a,I,pad,I_pad,12,357,193
NJ0205a,I,pad,I_pad,13,366,189
NJ0205a,I,pad,I_pad,14,376,185
NJ0205a,I,pad,I_pad,15,386,182
NJ0205a,I,pad,I_pad,16,396,178
NJ0205a,I,pad,I_pad,17,407,176
NJ0205a,I,pad,I_pad,18,417,173
NJ0205a,I,pad,I_pad,19,427,170
NJ0205a,I,pad,I_pad,20,437,168
NJ0205a,I,pad,I_pad,21,448,168
NJ0205a,I,pad,I_pad,22,458,169
NJ0205a,I,pad,I_pad,23,468,173
NJ0205a,I,pad,I_pad,24,477,178
NJ0205a,I,pad,I_pad,25,487,183
NJ0205a,I,pad,I_pad,26,496,189
NJ0205a,I,pad,I_pad,27,504,195
NJ0205a,I,pad,I_pad,28,511,203
NJ0205a,I,pad,I_pad,29,519,210
NJ0205a,I,pad,I_pad,30,526,218
NJ0205a,I,pad,I_pad,31,533,226
NJ0205a,I,pad,I_pad,32,540,234
NJ0205a,I,pad,I_pad,33,547,242
NJ0205a,J,pad,J_pad,1,273,245
